Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
I8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,3428,Low
I8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High
I8,2019,Europe,White,Electric,Manual,3.0,35700,96257,4411,Low
I8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High
I8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,5006,Low
I8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low
I8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low
I8,2010,Middle East,Grey,Petrol,Automatic,4.0,98514,37949,2278,Low
I3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low
I8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High
I3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High
I3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,8438,High
I8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,5887,Low
I3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low
I8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,3291,Low
I8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low
I3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low
I3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low
I8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High
I8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low
I8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low
I3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low
I3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High
I8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low
I3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low
I8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low
I8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High
I3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low
I8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low
I8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High
I3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low
I3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low
I3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low
I3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High
I3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High
I8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
I3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low
I3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High
I3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low
I3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High
I8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High
I3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High
I3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low
I8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High
I8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
