Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,7765,High
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,9383,High
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,8897,High
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469,High
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,9470,High
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,2191,Low
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,3235,Low
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low
M5,2012,Asia,Black,Electric,Automatic,2.0,65212,48461,3244,Low
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,7577,High
M3,2010,Europe,Black,Hybrid,Manual,4.0,87426,60458,9098,High
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,4427,Low
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,2353,Low
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,6177,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,4669,Low
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,8254,High
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,6712,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,4997,Low
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,3134,Low
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,8190,High
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,1883,Low
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,113,Low
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,2792,Low
M3,2013,Middle East,White,Petrol,Manual,3.1,74067,67269,2781,Low
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,9121,High
M5,2012,Europe,Black,Petrol,Automatic,3.7,124564,119792,3324,Low
M3,2011,Middle East,Black,Diesel,Automatic,4.6,106672,101785,1625,Low
