Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
5 SERIES,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,8300,High
5 SERIES,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low
7 SERIES,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low
5 SERIES,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,1232,Low
3 SERIES,2012,Middle East,White,Electric,Manual,2.4,101595,117995,500,Low
7 SERIES,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High
5 SERIES,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low
5 SERIES,2017,North America,Silver,Electric,Manual,3.1,57843,111326,4880,Low
7 SERIES,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,7521,High
5 SERIES,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low
3 SERIES,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low
3 SERIES,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low
3 SERIES,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low
7 SERIES,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low
3 SERIES,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low
5 SERIES,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low
7 SERIES,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low
7 SERIES,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low
7 SERIES,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low
3 SERIES,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,6698,Low
7 SERIES,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low
7 SERIES,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High
7 SERIES,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241,Low
7 SERIES,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High
7 SERIES,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,7462,High
5 SERIES,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low
3 SERIES,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low
3 SERIES,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low
5 SERIES,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low
7 SERIES,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low
5 SERIES,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low
7 SERIES,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low
3 SERIES,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High
3 SERIES,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High
5 SERIES,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low
7 SERIES,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low
3 SERIES,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High
7 SERIES,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High
5 SERIES,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High
5 SERIES,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low
5 SERIES,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High
3 SERIES,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High
5 SERIES,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low
7 SERIES,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low
3 SERIES,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low
7 SERIES,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High
3 SERIES,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low
3 SERIES,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low
3 SERIES,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low
5 SERIES,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High
5 SERIES,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High
7 SERIES,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low
3 SERIES,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low
3 SERIES,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low
3 SERIES,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low
3 SERIES,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low
