Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,5561,Low
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,7104,High
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,6481,Low
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,4125,Low
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,5425,Low
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612,High
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,1311,Low
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,4579,Low
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,3813,Low
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,9311,High
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low
X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,1252,Low
X6,2010,Europe,White,Hybrid,Manual,4.7,7762,61914,5045,Low
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,6856,Low
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913,High
X3,2013,South America,Grey,Petrol,Manual,2.0,156944,55881,6169,Low
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,2353,Low
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,1718,Low
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,7436,High
