Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
I8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,3428,Low
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low
3 SERIES,2012,Middle East,White,Electric,Manual,2.4,101595,117995,500,Low
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,7765,High
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,5561,Low
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,7104,High
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,9383,High
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,6481,Low
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low
I8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,5006,Low
I8,2010,Middle East,Grey,Petrol,Automatic,4.0,98514,37949,2278,Low
I3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,8438,High
I8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,5887,Low
I8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,3291,Low
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,4125,Low
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,5425,Low
I8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,2191,Low
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High
5 SERIES,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low
7 SERIES,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low
7 SERIES,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low
I8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High
I8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low
I3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low
I8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low
3 SERIES,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,6698,Low
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High
5 SERIES,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High
I8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,3235,Low
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low
I3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High
3 SERIES,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low
5 SERIES,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High
5 SERIES,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High
5 SERIES,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low
7 SERIES,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High
I3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low
I3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High
3 SERIES,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low
3 SERIES,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low
I3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low
3 SERIES,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,5817,Low
I8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666,9368,High
7 SERIES,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,2069,Low
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,1311,Low
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low
7 SERIES,2010,South America,Black,Petrol,Manual,4.3,52940,51743,4350,Low
I8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low
3 SERIES,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low
M5,2012,Asia,Black,Electric,Automatic,2.0,65212,48461,3244,Low
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,4579,Low
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High
7 SERIES,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,1916,Low
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,3813,Low
I3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,6205,Low
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,7577,High
M3,2010,Europe,Black,Hybrid,Manual,4.0,87426,60458,9098,High
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,4427,Low
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,9311,High
I3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,5797,Low
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low
5 SERIES,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,6935,Low
X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,1252,Low
I3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,5178,Low
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,8254,High
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,6712,Low
X6,2010,Europe,White,Hybrid,Manual,4.7,7762,61914,5045,Low
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,8190,High
7 SERIES,2013,Africa,Red,Diesel,Manual,3.9,143864,74401,9067,High
I8,2013,Europe,White,Hybrid,Automatic,3.2,110079,70118,7254,High
I3,2012,Middle East,Silver,Petrol,Automatic,3.6,53579,80919,2377,Low
3 SERIES,2012,South America,Silver,Petrol,Manual,2.8,137794,99478,520,Low
I3,2012,Africa,Red,Diesel,Manual,4.9,86785,99512,2353,Low
X3,2013,South America,Grey,Petrol,Manual,2.0,156944,55881,6169,Low
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,2353,Low
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,1718,Low
X5,2011,Europe,Blue,Petrol,Automatic,4.9,141616,117994,6327,Low
X5,2010,North America,Silver,Diesel,Manual,1.8,102510,107741,2737,Low
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,2792,Low
3 SERIES,2012,Africa,Red,Electric,Automatic,2.3,190156,116827,9454,High
I8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,97301,9597,High
5 SERIES,2010,South America,Red,Electric,Automatic,4.0,9951,39129,8440,High
3 SERIES,2011,North America,Grey,Hybrid,Automatic,4.1,146359,105042,2463,Low
I8,2010,South America,Red,Diesel,Manual,1.6,76908,48463,3398,Low
X3,2014,Middle East,White,Petrol,Automatic,4.7,95070,83106,6254,Low
7 SERIES,2014,North America,Silver,Electric,Automatic,3.6,182618,116107,7608,High
I8,2012,Europe,Blue,Electric,Manual,1.7,67114,68714,5960,Low
3 SERIES,2012,Europe,Blue,Diesel,Manual,2.2,154736,78565,3990,Low
5 SERIES,2012,Middle East,Blue,Electric,Automatic,3.0,121611,76420,6844,Low
M3,2013,Middle East,White,Petrol,Manual,3.1,74067,67269,2781,Low
X6,2010,North America,Blue,Petrol,Automatic,2.8,36327,66518,7163,High
5 SERIES,2013,Middle East,Grey,Electric,Manual,2.6,163437,69488,8943,High
X1,2010,North America,Red,Hybrid,Manual,3.6,4768,35905,5184,Low
X6,2013,South America,Red,Petrol,Manual,4.0,142408,60324,2195,Low
I8,2013,Africa,Silver,Petrol,Manual,3.1,136263,116643,4751,Low
3 SERIES,2012,North America,White,Hybrid,Manual,3.8,110051,82258,9890,High
M5,2012,Europe,Black,Petrol,Automatic,3.7,124564,119792,3324,Low
X6,2011,Africa,Red,Hybrid,Automatic,3.6,97667,81625,3309,Low
M3,2011,Middle East,Black,Diesel,Automatic,4.6,106672,101785,1625,Low
M5,2011,Africa,Red,Petrol,Automatic,2.5,41594,93495,489,Low
M5,2012,Middle East,Red,Diesel,Manual,1.7,71227,114903,8924,High
M5,2013,Asia,White,Petrol,Automatic,1.9,170073,81725,1404,Low
X5,2010,Africa,White,Hybrid,Automatic,2.4,23577,62344,8358,High
3 SERIES,2013,South America,Blue,Electric,Automatic,4.8,121155,35561,3816,Low
X1,2010,North America,Black,Diesel,Manual,4.4,148730,59157,9680,High
X3,2014,South America,Silver,Petrol,Manual,4.5,35380,84387,6211,Low
X6,2013,South America,White,Electric,Manual,4.1,183126,36457,1866,Low
X6,2012,South America,Grey,Diesel,Manual,2.6,186337,56075,9184,High
I3,2010,Asia,White,Petrol,Manual,4.4,25644,33486,4936,Low
5 SERIES,2010,Africa,Grey,Electric,Manual,3.1,127690,74267,2849,Low
I3,2012,Europe,Black,Hybrid,Automatic,2.3,183685,119952,9131,High
X3,2012,Middle East,Silver,Hybrid,Automatic,4.9,110369,40370,6148,Low
X6,2011,North America,Black,Diesel,Automatic,4.5,109348,85468,8241,High
I8,2014,Middle East,White,Diesel,Manual,4.7,144533,82911,4321,Low
5 SERIES,2010,Africa,Black,Diesel,Automatic,4.4,102278,35915,9841,High
7 SERIES,2010,Africa,Blue,Diesel,Automatic,2.7,185870,92721,7521,High
5 SERIES,2014,South America,Black,Diesel,Automatic,4.2,134531,87621,4611,Low
I3,2012,Middle East,Red,Diesel,Manual,3.5,155164,118934,1818,Low
I3,2013,North America,Red,Electric,Automatic,3.6,167951,104651,1054,Low
3 SERIES,2012,South America,Red,Hybrid,Manual,4.8,135680,93319,3307,Low
M3,2010,Middle East,Grey,Petrol,Manual,3.8,20833,30946,6000,Low
X5,2010,Africa,Black,Diesel,Automatic,4.3,169423,45093,7103,High
I3,2014,South America,Red,Diesel,Manual,3.9,185012,74147,8800,High
M3,2012,Europe,Red,Electric,Automatic,3.1,125303,36190,6344,Low
X6,2014,Asia,Black,Electric,Manual,1.9,114324,111758,7978,High
I8,2010,North America,Blue,Hybrid,Automatic,3.4,58700,94124,2613,Low
3 SERIES,2014,Middle East,Grey,Diesel,Manual,4.9,154711,76421,867,Low
X6,2012,Africa,Black,Hybrid,Manual,4.6,17763,53320,101,Low
X1,2010,Africa,Red,Electric,Automatic,3.7,70582,32634,5754,Low
5 SERIES,2013,Africa,Grey,Petrol,Manual,1.7,164685,82139,1560,Low
M5,2014,Africa,Blue,Petrol,Automatic,2.9,109953,90079,6074,Low
